value,percentage,datetime
14752.203,0.018921808137870894,2014-12-19T00:00:00.000+01:00
14363.022,0.0202764925278049,2014-12-20T00:00:00.000+01:00
12007.59,0.018200574668208513,2014-12-21T00:00:00.000+01:00
12982.328,0.01714663875722622,2014-12-22T00:00:00.000+01:00
14584.182,0.019163782064426798,2014-12-23T00:00:00.000+01:00
14452.595,0.021083904093951562,2014-12-24T00:00:00.000+01:00
13153.7,0.022409942071636296,2014-12-25T00:00:00.000+01:00
15709.816,0.023253903718948164,2014-12-26T00:00:00.000+01:00
13573.327,0.020013896384130165,2014-12-27T00:00:00.000+01:00
13906.216,0.02134422440590162,2014-12-28T00:00:00.000+01:00
15151.574,0.02027753824663762,2014-12-29T00:00:00.000+01:00
13587.201,0.017909404775403134,2014-12-30T00:00:00.000+01:00
13595.606,0.01916542169929159,2014-12-31T00:00:00.000+01:00
8552.629,0.013963154412462566,2015-01-01T00:00:00.000+01:00
9872.431,0.013618815967657056,2015-01-02T00:00:00.000+01:00
9645.982,0.01361860367645326,2015-01-03T00:00:00.000+01:00
10662.228,0.015814742585296648,2015-01-04T00:00:00.000+01:00
10717.143,0.014772048716990463,2015-01-05T00:00:00.000+01:00
10650.419,0.016356246308922455,2015-01-06T00:00:00.000+01:00
12965.241,0.015992222898989657,2015-01-07T00:00:00.000+01:00
13053.184,0.01557242081810025,2015-01-08T00:00:00.000+01:00
11445.487,0.013849482834034478,2015-01-09T00:00:00.000+01:00
11851.237,0.015972818507552354,2015-01-10T00:00:00.000+01:00
11718.7,0.016993886609280244,2015-01-11T00:00:00.000+01:00
11389.817,0.01406539610070552,2015-01-12T00:00:00.000+01:00
13682.151,0.016634313231812345,2015-01-13T00:00:00.000+01:00
15148.296,0.018382376416944634,2015-01-14T00:00:00.000+01:00
13114.127,0.016020030889091,2015-01-15T00:00:00.000+01:00
11137.793,0.01361659377368541,2015-01-16T00:00:00.000+01:00
11597.807,0.015485036822142416,2015-01-17T00:00:00.000+01:00
12574.539,0.017505357563182604,2015-01-18T00:00:00.000+01:00
12277.556,0.014535844908609036,2015-01-19T00:00:00.000+01:00
14609.031,0.016799661732416357,2015-01-20T00:00:00.000+01:00
13329.705,0.015283608982015986,2015-01-21T00:00:00.000+01:00
12257.46,0.014176867870575035,2015-01-22T00:00:00.000+01:00
12341.26,0.014474138951837147,2015-01-23T00:00:00.000+01:00
11179.135,0.014590196999083696,2015-01-24T00:00:00.000+01:00
10854.266,0.01545640615730936,2015-01-25T00:00:00.000+01:00
11964.098,0.014377063494726939,2015-01-26T00:00:00.000+01:00
11774.706,0.014012257383903229,2015-01-27T00:00:00.000+01:00
11477.113,0.013756635565058167,2015-01-28T00:00:00.000+01:00
12519.711,0.01508784271890378,2015-01-29T00:00:00.000+01:00
13551.597,0.016645864388209818,2015-01-30T00:00:00.000+01:00
12104.101,0.016483830926043396,2015-01-31T00:00:00.000+01:00
11390.74,0.01638804071580872,2015-02-01T00:00:00.000+01:00
